State,Spending per Pupil ($),Composite Score
Louisiana,4049,581
Mississippi,3423,582
California,4917,580
Hawaii,5532,580
South Carolina,4304,603
Alabama,3777,604
Georgia,4663,611
Florida,4934,611
New Mexico,4097,614
Arkansas,4060,615
Delaware,6208,615
Tennessee,3800,618
Arizona,4041,618
West Virginia,5247,625
Maryland,6100,625
Kentucky,5020,626
Texas,4520,627
New York,8162,628
North Carolina,4521,629
Rhode Island,6554,638
Washington,5338,639
Missouri,4483,641
Colorado,4772,644
Indiana,5128,649
Utah,3280,650
